Demand nodes,Relief points,Population served,Population unserved,Reliability value
1,1,307.95,540,0.245
2,2,224.35,226,0.0625
3,3,309.2,-209,0.175
4,4,276,174,0.1715
6,5,100.9,-1,0.343
6,6,309.75,-201,0.035
7,6,101.3,8,0.0315
7,7,448.7,-349,0.000000759
8,7,8.33212E-14,100,0.15
8,8,327,-227,0.125
